Model,Transform,Train R²,Test R²,Test RMSE,Test MAE,Pred Mean,Pred Std,Pred Min,Pred Max,Extrapolates
Linear Regression,None,0.9955736542980005,-0.9322787642868351,28520.37009212958,22472.94550173063,110429.96593039812,38172.591315229634,51825.498107363965,187454.49413488136,True
Ridge,None,0.99387040980571,-0.07179792541691188,21241.086246646184,16582.28624393854,104565.00550064082,33984.8457427662,52306.29824599835,169843.62932663667,True
Lasso,None,0.9946731780702454,-0.2919258739468009,23320.56479878559,18323.516102663558,106404.34051565554,34950.66868545196,52616.77821453387,171292.96135435742,True
ElasticNet,None,0.9668332752356519,0.8000893534924743,9173.56680797033,6755.306154048012,92509.82914747128,26350.055997684816,54293.53792995816,151613.16643360708,True
SVR (RBF),None,0.7001270448037064,-5.620880187639071,52793.21746565703,48011.91696305547,40941.33611906103,1636.26423097912,39551.82153564557,45200.656833646266,False
SVR (Linear),None,0.7878946973229477,-0.37409653559005385,24050.76465546684,22903.911120318375,66049.34196179813,16309.290397968092,41609.742240997366,104922.55105271564,True
Random Forest,None,0.9914071577405282,-3.018824409684628,41131.04863815085,36158.18774606433,52865.04109882085,4563.689785602905,45485.92661527698,65281.804574718764,False
XGBoost,None,0.9999757307853467,-2.597587332267781,38915.7978679694,33462.77468402913,55496.44921875,4453.216796875,44798.8359375,67613.7890625,False
Gradient Boosting,None,0.9998150900993582,-2.1823870440413207,36601.32142915534,31560.852002252002,57394.398924907015,3849.252340573022,45933.703785157355,67069.40834932137,False
LightGBM,None,0.9994896209807931,-2.3348933641694365,37468.0630244967,32018.578687072473,56977.70165850933,4109.371816446519,46084.305599650645,67831.28257892634,False
Linear Regression,Z-score,0.9955736542899776,-0.9322788072291621,28520.370409043233,22472.945817511572,110429.96624595234,38172.59143057554,51825.497841736,187454.49425519418,True
Ridge,Z-score,0.9938704098057098,-0.07179792541703622,21241.086246647417,16582.286243939645,104565.00550064199,33984.84574276684,52306.298245998274,169843.6293266399,True
Lasso,Z-score,1.1102230246251565e-16,-6.307439788425885,55462.940253018736,51528.419639133164,37424.833442983334,0.0,37424.833442983334,37424.833442983334,False
ElasticNet,Z-score,0.5042038043688855,-4.075477088522291,46223.06100193191,43441.83548898532,45511.41759313119,5083.83323577874,37232.155222312955,56084.34566653015,False
SVR (RBF),Z-score,0.9963805497752792,-4.493200301928385,48087.586876273235,39786.86344304599,49194.36293224367,7228.350969068146,42615.41751122294,66505.10502117182,False
SVR (Linear),Z-score,0.9940559695919409,-0.2437989403542724,22882.07251272862,17909.560511497428,106220.905716844,34517.64272288551,53366.575554532814,172092.25997633536,True
Random Forest,Z-score,0.9914127722529575,-3.0227325048323594,41151.0426681742,36177.50582055241,52845.70217597679,4575.049749810703,45420.37838913431,65281.80457471876,False
XGBoost,Z-score,0.999974598550385,-2.603026015443437,38945.20240284436,33494.76283633496,55464.23828125,4435.6943359375,44891.09375,67526.9609375,False
Gradient Boosting,Z-score,0.999788549365554,-2.146436165446948,36393.9948191586,31343.183268963665,57615.933115730484,3840.3911980166026,45616.84808631578,66968.22688006438,False
LightGBM,Z-score,0.9994896210080906,-2.3348933626691424,37468.063016068685,32018.578680059287,56977.70166640309,4109.3718263836545,46084.30545702492,67831.28287378636,False
Linear Regression,Log,0.9920567004069902,-134.93459509168758,239213.2685808841,150558.74860557634,237147.74497574897,204630.68790671407,43532.69286764986,1007280.3136770499,True
Ridge,Log,0.99114113235362,-68.22653620380326,170709.0585590405,111757.48724902845,198448.4168302308,148530.89713927626,45244.16592115186,691321.1329481235,True
Lasso,Log,-0.036226707957833115,-6.9975643197149395,58022.86070815251,54274.23563491565,34679.01744720085,0.0,34679.01744720085,34679.01744720085,False
ElasticNet,Log,-0.036226707957833115,-6.9975643197149395,58022.86070815251,54274.23563491565,34679.01744720085,0.0,34679.01744720085,34679.01744720085,False
SVR (RBF),Log,0.9751302910770514,-5.372535156279694,51793.63433614212,44413.4777642507,44539.77531786581,6898.642170498701,38730.21893763141,62853.249827156425,False
SVR (Linear),Log,0.9802602904292943,-47.90037383618309,143475.04047057792,95041.76373246891,183186.0586357467,125986.8184779083,54401.66077355372,588908.2636785555,True
Random Forest,Log,0.9910916971251331,-3.0479398492563057,41279.77215418902,36922.24564919654,52031.2240340683,4325.082635288616,41346.76302187205,65246.2237904406,False
XGBoost,Log,0.999973651409458,-2.690663655174297,39415.99555627931,34698.52039097573,54254.734375,4586.5009765625,41804.0703125,67049.3984375,False
Gradient Boosting,Log,0.9997763861652523,-2.2254185143494354,36847.94764522575,31887.31434964505,57065.93873247145,4135.958117337885,45319.381698283396,67589.96067792209,False
LightGBM,Log,0.9994976156447165,-2.47626147935269,38253.96747685505,33487.926770689526,55465.32631142698,4596.258611457214,41820.28694611611,67271.66595567622,False
