Feature,Coefficient,Abs_Coefficient
SPX,1723.3744304140846,1723.3744304140846
bc_miners_revenue,1684.3009953469902,1684.3009953469902
QQQ,1651.8888074714657,1651.8888074714657
OBV,1267.665206008047,1267.665206008047
fear_greed_index,982.4205107059207,982.4205107059207
ATR,930.9976890122806,930.9976890122806
BSV,891.4592348686165,891.4592348686165
GOLD,881.8910601836693,881.8910601836693
M2SL,843.0112668128529,843.0112668128529
SMA30_marketcap,833.3241836394192,833.3241836394192
EMA200_marketcap,792.6934310932382,792.6934310932382
T10Y2Y,789.7367112532013,789.7367112532013
EMA100_marketcap,752.6894481541927,752.6894481541927
EMA30_marketcap,739.3619197299819,739.3619197299819
SMA20_marketcap,705.2106024884166,705.2106024884166
EMA20_marketcap,658.9231014816404,658.9231014816404
volatility_20d,-600.1931824673975,600.1931824673975
EMA14_marketcap,583.1826423385486,583.1826423385486
Volume,-581.5347970845729,581.5347970845729
MACD,532.7834086019558,532.7834086019558
MACD_signal,525.020405737691,525.020405737691
EMA10_marketcap,523.2587541926752,523.2587541926752
bc_difficulty,512.5039820725248,512.5039820725248
market_cap_approx,507.2531871393337,507.2531871393337
DFF,-497.4990166417058,497.4990166417058
SMA10_marketcap,474.8531189369667,474.8531189369667
EMA5_marketcap,461.6348042393309,461.6348042393309
EMA100_volume,-423.16915577905655,423.16915577905655
SMA5_marketcap,421.4922570209092,421.4922570209092
UNRATE,-399.97580741779626,399.97580741779626
bc_hash_rate,368.14047527283526,368.14047527283526
bc_transaction_fees,-362.989303508416,362.989303508416
bc_n_transactions,347.4201710723092,347.4201710723092
OIL,329.41178603305843,329.41178603305843
RSI,305.982695368262,305.982695368262
SILVER,289.5993977761184,289.5993977761184
daily_return,262.8874895579935,262.8874895579935
EMA200_volume,-262.7133956203965,262.7133956203965
ADX,-227.34874864230025,227.34874864230025
GDP,222.02670307015504,222.02670307015504
bc_n_unique_addresses,-206.0063061525467,206.0063061525467
DGS10,-199.8201655469411,199.8201655469411
bc_total_bitcoins,195.95058910540962,195.95058910540962
EURUSD,184.11791043932524,184.11791043932524
DEXUSEU,182.5809620883099,182.5809620883099
Stoch_K,151.48221664137307,151.48221664137307
Williams_R,151.48167493677192,151.48167493677192
ROC,141.68253242984204,141.68253242984204
MACD_diff,120.61694799039165,120.61694799039165
google_trends_btc,-117.6597508427443,117.6597508427443
DTWEXBGS,-92.21322732628343,92.21322732628343
MFI,-70.51270106009629,70.51270106009629
UUP,68.29159516781272,68.29159516781272
VIXCLS,46.86702307773239,46.86702307773239
Stoch_D,39.68821127042055,39.68821127042055
bc_mempool_size,37.64983871923546,37.64983871923546
CCI,35.156659379334805,35.156659379334805
volume_change,24.46910364987953,24.46910364987953
CPIAUCSL,5.4875703919174414,5.4875703919174414
