Variable,Lasso_Coef,Ridge_Coef,ElasticNet_Coef,Abs_ElasticNet_Coef,Is_ETF_Var
Miner_Revenue_to_Cap_MA30,1801.349696848182,-746.8128636159618,-1019.6755204099483,1019.6755204099483,False
ETH,917.0510702592563,1035.3963143661636,1018.9822403021163,1018.9822403021163,False
Price_to_MA200,2373.895638612936,818.8865904869743,984.7140830788328,984.7140830788328,False
IWM,1715.6737660438828,682.3940253287468,947.9943283796756,947.9943283796756,False
NVT_Ratio_MA90,1877.8472073544385,714.6184398465757,841.037540417969,841.037540417969,False
SMA10_marketcap,1564.4037289011776,525.6545068896531,833.269464754028,833.269464754028,False
RRPONTSYD,784.9742636775512,-689.9175117845324,-816.3277020607045,816.3277020607045,False
SMA30_marketcap,1786.796536055544,592.5154388137613,770.6071869646728,770.6071869646728,False
Difficulty_MA60,3332.490095676795,584.1244104601215,766.1295667405162,766.1295667405162,False
BITB_Price,178.87089251507902,760.001084026856,740.1789857249126,740.1789857249126,True
ARKB_Price,149.04379181736604,758.7093904838431,732.932477664632,732.932477664632,True
Hash_Ribbon_MA30,2118.3582873485634,588.0343427502007,712.5808844091334,712.5808844091334,False
GBTC_Price,0.0,769.3071839220545,693.1432093918194,693.1432093918194,True
CCI,583.4206651697598,590.5189409219389,691.7007726967489,691.7007726967489,False
FBTC_Price,0.0,750.6206602437455,682.7579424808534,682.7579424808534,True
IBIT_Price,2304.6717161137335,758.7500600821817,668.456109334567,668.456109334567,True
Difficulty_MA30,491.7838264191617,543.1258382926168,658.237937375788,658.237937375788,False
Hash_Ribbon_MA60,32.207663148368574,548.7667340573247,641.2322139904359,641.2322139904359,False
EMA100_volume,0.0,546.2337292034326,640.8359198659316,640.8359198659316,False
Difficulty_MA90,0.0,517.4139623924195,640.7040781489873,640.7040781489873,False
bc_miners_revenue,759.4144382877571,474.47810803213844,635.0506198130362,635.0506198130362,False
DTWEXBGS,1312.686719268131,474.58243323744955,602.6753192333132,602.6753192333132,False
WALCL,883.9021017617089,-455.1659420335315,-590.8831262397637,590.8831262397637,False
Miner_Revenue_to_Cap,378.96191108614266,-496.1720775754359,-585.6216388085385,585.6216388085385,False
EMA200_volume,0.0,523.6841488751364,585.5054269923598,585.5054269923598,False
OIL,735.3429563324072,415.1682298818473,554.0499550980762,554.0499550980762,False
FED_NET_LIQUIDITY,0.0,-440.5705528349748,-549.8832068365317,549.8832068365317,False
fear_greed_index,379.05217486207465,551.7445164034178,544.4911509738196,544.4911509738196,False
MACD,789.3707155961038,471.84993063660386,520.5796819552065,520.5796819552065,False
DIA,1096.686109104292,-216.18742075579746,-498.4655782570962,498.4655782570962,False
T10Y3M,264.6534832318818,327.9264534519144,474.1217078153501,474.1217078153501,False
MACD_signal,0.0,431.37531012831846,455.22059238954074,455.22059238954074,False
EMA100_marketcap,0.0,439.3841396244485,437.98940660672486,437.98940660672486,False
Hash_Price_MA90,0.0,293.4409746408336,427.82390217946744,427.82390217946744,False
OBV,263.73678045749165,617.105151389322,423.41695277418114,423.41695277418114,False
ATR,446.5429555615057,-113.09258297925531,-419.55071421580664,419.55071421580664,False
SILVER,344.4182230286481,-186.41584206667827,-405.28239240730807,405.28239240730807,False
Price_MA200,0.0,384.9070929581841,395.2397658593958,395.2397658593958,False
bc_total_bitcoins,0.0,342.4567991778272,395.05627846003506,395.05627846003506,False
T10Y2Y,32.64232029627107,-299.53714499466594,-388.13102588734455,388.13102588734455,False
EMA200_marketcap,0.0,406.48872264253043,385.4047506076059,385.4047506076059,False
CPIAUCSL,0.0,342.1579982371556,370.3150449767416,370.3150449767416,False
DXY,188.68391838075266,346.50169942348725,350.0123657251857,350.0123657251857,False
daily_return,267.29634338516075,311.8776299960696,330.0461351854879,330.0461351854879,False
GOLD,441.2772089249659,276.0913726276365,326.1668313642605,326.1668313642605,False
TLT,323.0897154847516,226.77752846237996,323.74358698881633,323.74358698881633,False
MACD_diff,258.77398576476236,227.20349516379363,322.1330385014228,322.1330385014228,False
GLD,0.0,255.76997664147638,319.6134760545988,319.6134760545988,False
Stoch_D,196.23213730556924,-204.5045014560548,-309.43364792347506,309.43364792347506,False
QQQ,199.5324979196719,-78.08502381705463,-298.6205120336749,298.6205120336749,False
UUP,0.0,335.69290934834714,291.8396301057474,291.8396301057474,False
EMA30_marketcap,0.0,304.9961491213056,287.2231133102379,287.2231133102379,False
Hash_Price,0.0,217.8930741998063,264.09771319888625,264.09771319888625,False
UNRATE,101.57667842750253,-163.1797671675901,-253.44992590464798,253.44992590464798,False
bc_n_unique_addresses,174.61440695118466,-215.6216156296165,-251.81318849667997,251.81318849667997,False
DEXUSEU,56.61488832897598,-319.04545297184967,-247.62961667759188,247.62961667759188,False
Puell_Multiple,0.0,201.94133186739722,247.3426548875567,247.3426548875567,False
ROC,308.03300194235794,-148.05070041704454,-243.64638041251487,243.64638041251487,False
Active_Addresses_MA90,0.0,-155.8128285092923,-237.4186449613923,237.4186449613923,False
NVT_Ratio,182.45720548387402,-69.35051918878989,-229.68007983045035,229.68007983045035,False
EMA20_marketcap,0.0,231.91158760424958,216.11123988214302,216.11123988214302,False
EMA5_marketcap,0.0,-70.43031824960254,-213.1799307755371,213.1799307755371,False
bc_difficulty,0.0,322.5550194281578,208.64160370868154,208.64160370868154,False
ARKB_Volume_Change_7d,252.93484744490837,168.32373751470072,207.60071935332186,207.60071935332186,True
market_cap_approx,77.35014286525357,148.1174232690785,206.2981109964617,206.2981109964617,False
GDP,0.0,-105.50039065060213,-201.90540615801908,201.90540615801908,False
BAMLH0A0HYM2,0.0,-205.411945224699,-177.3073933457161,177.3073933457161,False
VIXCLS,199.40596292717612,-170.04185675905958,-175.45404100938094,175.45404100938094,False
FBTC_Volume_Change_7d,175.5926201039738,-100.45047547005348,-172.26827911659183,172.26827911659183,True
BITB_Volume_Change_7d,179.74253897273425,-133.07431345203526,-165.42561438459276,165.42561438459276,True
IBIT_Volume_Change_7d,126.53395311518557,101.8527282531178,157.86807622397427,157.86807622397427,True
RSI,148.60962348802173,-45.29752462483922,-152.46528877450822,152.46528877450822,False
volatility_20d,83.97956838014144,131.39434099184578,151.510547265546,151.510547265546,False
EMA14_marketcap,0.0,161.04172452996627,148.46412964584889,148.46412964584889,False
Stoch_K,119.05358718038372,124.51149428082537,147.5868951579743,147.5868951579743,False
Williams_R,80.75522697776985,124.5114942673302,144.87851757555725,144.87851757555725,False
VIX,0.0,-152.57142019472826,-140.12576675376127,140.12576675376127,False
ADX,35.158451825953975,134.7526695220386,131.7874150281116,131.7874150281116,False
SOFR,0.0,-128.87268040251962,-131.3495778678154,131.3495778678154,False
bc_mempool_size,27.797060811627905,-196.41553866674667,-125.4661215061432,125.4661215061432,False
bc_transaction_fees,11.194530011067458,-52.03225224264807,-119.17739396175052,119.17739396175052,False
Mempool_Stress,108.20326575472055,-80.83037187481948,-112.39858327395844,112.39858327395844,False
Avg_Fee_Per_Tx_MA30,172.50288117274027,-16.238716085254467,101.86379085880142,101.86379085880142,False
DFF,0.0,-70.00373727407674,-99.1865959613937,99.1865959613937,False
BSV,0.0,70.41268460962203,92.60630218170503,92.60630218170503,False
bc_n_transactions,19.399936575734895,-15.496917684972743,-83.56570054176143,83.56570054176143,False
Active_Addresses_Change,47.27033603177247,47.86716095621472,78.98507108623765,78.98507108623765,False
M2SL,0.0,171.20574821002376,70.87775971713374,70.87775971713374,False
MFI,128.68370950276463,8.538173501489904,68.64083855309543,68.64083855309543,False
EMA10_marketcap,0.0,93.16433624203452,68.11627258904375,68.11627258904375,False
Hash_Ribbon_Spread,35.08914636074209,56.422244206309166,64.40302874134693,64.40302874134693,False
Difficulty_Compression,0.0,115.18157199183341,54.4312927999379,54.4312927999379,False
bc_hash_rate,0.0,122.80305129156751,51.88070098855444,51.88070098855444,False
WTREGEN,0.0,-133.74416813559958,-35.78858650264873,35.78858650264873,False
GBTC_Volume_Change_7d,4.182057215498721,41.17945582911141,34.617864264873106,34.617864264873106,True
DGS10,0.0,81.07133215377586,30.119030074522588,30.119030074522588,False
GBTC_Premium,22.56712661352162,-3.61882791263669,13.27502512951687,13.27502512951687,True
volume_change,20.335158460899294,21.665201595904033,5.330119559680162,5.330119559680162,False
