Variable,Lasso_Coef,Ridge_Coef,ElasticNet_Coef,Abs_ElasticNet_Coef
bc_miners_revenue,3398.4197223617803,1763.5359866573945,2325.033963610525,2325.033963610525
Hash_Price,4619.585991795113,5231.086035587422,1996.9722981998823,1996.9722981998823
NVT_Ratio,1108.8848799056684,412.63550371929034,1672.2310306583124,1672.2310306583124
EMA100_volume,2344.7950531262504,-4315.374554694545,-1085.551238655817,1085.551238655817
Volume,663.4904817799065,-386.5500603459787,-1046.2430786001994,1046.2430786001994
SMA20_marketcap,1831.7376897505637,556.3546545360201,1042.7006393468087,1042.7006393468087
T10Y3M,1021.4414305164901,1914.0501074259068,1041.2420689065304,1041.2420689065304
market_cap_approx,763.1514406867984,1010.9232456086455,1021.6289613894052,1021.6289613894052
SMA30_marketcap,1059.596007273063,-137.40519817785045,986.2170823152487,986.2170823152487
Active_Addresses_MA90,1630.2914123822466,2353.692513603015,974.4298739268377,974.4298739268377
fear_greed_index,661.9848378425929,669.5961532437971,938.0095869905523,938.0095869905523
WTREGEN,924.7739141180994,-958.379238862962,-906.2726999662649,906.2726999662649
Price_to_MA200,627.3518733635462,742.2218518435596,851.315187535369,851.315187535369
EMA30_marketcap,301.71965824675493,5338.082786081123,796.1619257761565,796.1619257761565
Price_MA200,1961.7009561810737,3198.603512157726,793.0418379668325,793.0418379668325
EMA200_volume,0.0,-3415.862150917676,-759.1867953743061,759.1867953743061
RSI,729.4583681997531,1096.4475969243042,688.8381887902086,688.8381887902086
EMA100_marketcap,0.42425435632237246,2293.739705565374,681.209941872246,681.209941872246
T10Y2Y,576.8074578599783,2566.0246886921896,657.6953840149984,657.6953840149984
TLT,898.8418234425534,3180.2852758132694,652.0746377187453,652.0746377187453
bc_mempool_size,418.57575978573385,392.95183517250206,639.5119340799068,639.5119340799068
Miner_Revenue_to_Cap,1023.1232565354425,-904.470076807228,-591.2226335892792,591.2226335892792
Difficulty_Compression,724.5865655885177,-92.3089470453159,584.3913421149657,584.3913421149657
HYG,316.5417569796532,-1431.314451459566,-576.9506691314889,576.9506691314889
EMA20_marketcap,0.0,2785.39703787953,543.8240953286747,543.8240953286747
google_trends_btc,552.266891154992,-628.4626715254885,-521.2280098317449,521.2280098317449
bc_difficulty,1151.08868227592,2216.2032936429023,517.6870954600573,517.6870954600573
bc_n_unique_addresses,528.2305081073346,600.942711374127,516.0542764511557,516.0542764511557
MACD_signal,396.36388288600034,317.8894786702641,495.6540109386838,495.6540109386838
MACD,0.0,339.1994714150771,489.06194170955916,489.06194170955916
Hash_Price_MA90,0.0,475.47369716058756,486.3111543275116,486.3111543275116
Stoch_D,557.8180891770477,-560.7762654298798,-479.158432127685,479.158432127685
Avg_Fee_Per_Tx_MA30,380.8074979869494,-233.23362406109558,-452.87377628714756,452.87377628714756
Avg_Fee_Per_Tx,456.2807569292939,-873.7349716024057,-441.2986851072776,441.2986851072776
SOFR,0.0,173.57767198383303,-440.859953432198,440.859953432198
DIA,0.0,1439.547016112999,425.041944166851,425.041944166851
DFF,0.0,-212.34111871875564,-403.15832921999305,403.15832921999305
daily_return,386.98518784094694,288.92920903544126,397.177494939937,397.177494939937
NVT_Ratio_MA90,0.0,-3532.9335103572153,373.9983405820559,373.9983405820559
EMA200_marketcap,0.0,-853.1156672956746,373.5147582489131,373.5147582489131
OBV,0.0,-616.0390232438426,371.304486826998,371.304486826998
Williams_R,181.13150163896117,411.29381641499333,368.80695010432765,368.80695010432765
Stoch_K,576.5095065291823,411.2938156744391,368.410710862535,368.410710862535
SMA10_marketcap,0.0,-933.3090190591583,-341.76592227263967,341.76592227263967
UNRATE,0.0,383.4409135857362,-336.3296463509919,336.3296463509919
bc_transaction_fees,535.5954961460005,-387.7460535699131,-336.2009399655315,336.2009399655315
bc_n_transactions,0.0,-287.1982404835353,316.251379084793,316.251379084793
volatility_20d,216.7135987478833,115.0307834683185,-308.9984398215612,308.9984398215612
IWM,532.8309300623984,1460.667280713807,308.68669808756016,308.68669808756016
CPIAUCSL,0.0,-2080.755867187179,-307.1101969508557,307.1101969508557
Miner_Revenue_to_Cap_MA30,0.0,-827.6358537630592,-287.27149299242643,287.27149299242643
EMA14_marketcap,0.0,424.95266558691117,276.5030070016601,276.5030070016601
RRPONTSYD,0.0,-743.6190576079476,-273.53786217551595,273.53786217551595
Hash_Ribbon_Spread,35.32332645043521,594.6762358615364,263.96832476732493,263.96832476732493
ATR,0.0,-479.1031138236714,-218.84621110218222,218.84621110218222
GDP,0.0,1121.0462659037214,210.8014015036141,210.8014015036141
GOLD,0.0,1158.626203355419,196.86051269950502,196.86051269950502
VIX,8.777366449888083,759.6831055313194,188.57422317514585,188.57422317514585
SPX,0.0,-2295.1009361873153,179.38889359807956,179.38889359807956
VIXCLS,0.0,-631.4979010102561,167.2077706251982,167.2077706251982
Difficulty_MA90,0.0,-2305.8810496033766,-134.05591597618954,134.05591597618954
CCI,53.96384313651959,-87.03320448288444,-133.78664714430826,133.78664714430826
BSV,0.0,-1955.351345679622,132.07507030449634,132.07507030449634
DTWEXBGS,0.0,1473.515400694768,129.50993424148572,129.50993424148572
Active_Addresses_Change,112.62284770757144,119.73260541780566,129.1486111910289,129.1486111910289
EURUSD,0.0,-201.753555118039,-120.82778424193556,120.82778424193556
Mempool_Stress,21.617613295101073,-14.67763391488994,-114.91327636769994,114.91327636769994
SMA5_marketcap,0.0,999.565501070774,105.60881680352838,105.60881680352838
ETH,73.67573388980242,-435.91919745968073,96.6670921169804,96.6670921169804
DXY,0.0,-407.7969982087629,-88.90132739576309,88.90132739576309
EMA5_marketcap,0.0,-2236.7270771835547,-84.21500522541676,84.21500522541676
volume_change,12.000547569545867,-102.98098422965982,76.36528681632217,76.36528681632217
Puell_Multiple,103.82261298314542,-266.9734633136502,76.11544776418235,76.11544776418235
ADX,22.01616928367041,49.28383568257742,-75.03891148455939,75.03891148455939
bc_hash_rate,84.64956261537603,1073.251310933503,-73.84330986782649,73.84330986782649
SILVER,0.0,449.7017922684917,-62.114845002122706,62.114845002122706
MACD_diff,23.079251332301975,133.5761453621364,60.006007458894544,60.006007458894544
BAMLC0A0CM,0.0,-355.94074794338064,-56.28833989556092,56.28833989556092
UUP,0.0,-188.51458230629714,-51.355424704123315,51.355424704123315
EMA10_marketcap,0.0,-1317.1802244526684,47.81904393974477,47.81904393974477
Difficulty_MA30,0.0,1516.5119740388416,-44.897202140799465,44.897202140799465
MFI,44.87596298511973,133.3964124806748,-39.529253815362196,39.529253815362196
Hash_Ribbon_MA30,0.0,-2085.758794684956,34.95065908866067,34.95065908866067
LQD,0.0,1386.4814806173342,33.65194298693819,33.65194298693819
BAMLH0A0HYM2,0.0,-235.30511621011857,21.61326555456909,21.61326555456909
GLD,0.0,-1175.286246334184,13.553448794275313,13.553448794275313
QQQ,0.0,944.5852519619363,3.7427742342662196,3.7427742342662196
Hash_Ribbon_MA60,0.0,1324.052024115781,0.0,0.0
