feature,importance
daily_return,0.04081310981919582
bc_mempool_size,0.03372280644715133
volume_change,0.02459019241950735
ROC,0.024521161626071743
Volume,0.0244588815410191
CCI,0.023088844530492675
BSV,0.023088493056720463
Stoch_K,0.02292772318858616
OBV,0.022636314701818226
market_cap_approx,0.02241331127727976
Williams_R,0.022199422727184864
ADX,0.022191308550145457
bc_transaction_fees,0.02183059232756819
MACD_diff,0.021780227311748567
RSI,0.021038966753591695
MFI,0.020976230213849027
bc_n_unique_addresses,0.020486635779085306
bc_hash_rate,0.020104241496939675
Stoch_D,0.019908808218305464
bc_n_transactions,0.019759796273384013
volatility_20d,0.01970442470881209
VIXCLS,0.01930531729154482
SMA5_marketcap,0.019105137312467227
SPX,0.01893305148738713
MACD,0.01843818203262376
MACD_signal,0.018354727754682488
T10Y2Y,0.01783138468440175
bc_miners_revenue,0.01683264416737281
ATR,0.016339590274608663
DEXUSEU,0.01631598253521789
EMA30_marketcap,0.016182979838374557
SMA30_marketcap,0.01599478698229977
SMA10_marketcap,0.015969573718100153
SILVER,0.01571428598063537
EURUSD,0.015556629380277631
OIL,0.01530742896250688
GOLD,0.015081840040731233
EMA5_marketcap,0.014730492627126978
EMA100_marketcap,0.014572746335231453
SMA20_marketcap,0.014371956674751891
DTWEXBGS,0.01409861788760439
QQQ,0.013766162722700587
EMA14_marketcap,0.01368486237327883
EMA200_marketcap,0.01366630296820949
google_trends_btc,0.013607572152492125
EMA100_volume,0.013430316589700099
EMA200_volume,0.013401120337571341
EMA10_marketcap,0.013260024061871106
EMA20_marketcap,0.013064397147306958
DGS10,0.012507713259505164
bc_difficulty,0.012178826176508744
UUP,0.011881137931787989
bc_total_bitcoins,0.010710401719642841
fear_greed_index,0.010256522148346676
M2SL,0.0040940315009195555
CPIAUCSL,0.003431388125931909
UNRATE,0.0026189902415111287
DFF,0.0024083331602979176
GDP,0.0007530484460137132
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
