feature,importance,category
bc_miners_revenue,0.875656839254281,OnChain
bc_total_bitcoins,0.061170734327485876,OnChain
M2SL,0.01514408402462316,Macro
T10Y2Y,0.006341761864720808,Macro
bc_difficulty,0.005761562539808806,OnChain
google_trends_btc,0.005577483610033197,Sentiment
UNRATE,0.005506548986430107,Macro
DGS10,0.0033487841188474194,Macro
CPIAUCSL,0.002936974980798861,Macro
bc_n_unique_addresses,0.002911783034732869,OnChain
DFF,0.002604952057619654,Macro
VIXCLS,0.0024793606668584893,Macro
fear_greed_index,0.0019820286834606343,Sentiment
bc_transaction_fees,0.0018364627952820196,OnChain
bc_n_transactions,0.0017439581051833042,OnChain
bc_hash_rate,0.0013930013195081672,OnChain
DTWEXBGS,0.0011026214371785575,Macro
DEXUSEU,0.0010286789982526577,Macro
Volume,0.0007652086571625208,Volume
bc_mempool_size,0.0005664214311803138,OnChain
GDP,0.0001407491065516028,Macro
cm_txcnt,0.0,OnChain
cm_txtfrvaladjusd,0.0,OnChain
cm_txtfrvalmeanusd,0.0,OnChain
cm_hashrate,0.0,OnChain
cm_isstotusd,0.0,OnChain
cm_feetotusd,0.0,OnChain
cm_diffmean,0.0,OnChain
cm_adractcnt,0.0,OnChain
