시기,Bitcoin_ETF_수,가격_기술지표_수,거시경제_수,기타_수,온체인_수,전통시장_수,채굴_고급온체인_수,Bitcoin_ETF_%,가격_기술지표_%,거시경제_%,기타_%,온체인_%,전통시장_%,채굴_고급온체인_%,총계
2021년 (초기),0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1
2022 상반기 (하락장),5,0,2,0,1,3,5,31.25,0.0,12.5,0.0,6.25,18.75,31.25,16
2022 하반기 (바닥),0,1,0,0,0,0,1,0.0,50.0,0.0,0.0,0.0,0.0,50.0,2
2023 상반기 (회복),0,1,0,0,0,0,1,0.0,50.0,0.0,0.0,0.0,0.0,50.0,2
2023 하반기 (상승),0,7,6,0,1,0,1,0.0,46.666666666666664,40.0,0.0,6.666666666666667,0.0,6.666666666666667,15
2024 Q1 (ETF 직후),0,12,4,0,8,9,3,0.0,33.33333333333333,11.11111111111111,0.0,22.22222222222222,25.0,8.333333333333332,36
2024 Q2,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3
2024-10 (변화 시작),1,8,0,0,1,3,1,7.142857142857142,57.14285714285714,0.0,0.0,7.142857142857142,21.428571428571427,7.142857142857142,14
2024-11 (변화 폭발),6,19,3,2,7,4,3,13.636363636363635,43.18181818181818,6.8181818181818175,4.545454545454546,15.909090909090908,9.090909090909092,6.8181818181818175,44
2024-12 이후,0,4,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4
