date,action,price,predicted_return,version
2024-08-05,BUY,53991.45703,7.020770179390401,A
2024-08-08,SELL,61710.13672,-2.166231473177105,A
2024-08-11,BUY,58719.48438,1.217218724076341,A
2024-08-12,SELL,59354.51563,-1.6939770471117055,A
2024-08-15,BUY,57560.09766,4.583017433668868,A
2024-08-19,SELL,59493.45313,-1.1620626572110382,A
2024-08-20,BUY,59012.79297,1.1642388268171544,A
2024-08-21,SELL,61175.19141,-0.6315304812956501,A
2024-08-22,BUY,60381.91406,1.0676593723347505,A
2024-08-23,SELL,64094.35547,0.005412121367220912,A
2024-08-27,BUY,59504.13281,3.4667226003138207,A
2024-09-03,SELL,57431.02344,-0.6638985554206722,A
2024-09-05,BUY,56160.48828,3.0173414565491496,A
2024-09-09,SELL,57019.53516,0.5380580613701502,A
2024-09-12,BUY,58127.01172,4.501332876589137,A
2024-12-31,SELL,93429.20313,0.36060513253619586,A
2025-01-09,BUY,92484.03906,2.402532145904712,A
2025-01-10,SELL,94701.45313,-0.5647243050609929,A
2025-01-19,BUY,101089.6094,1.384217444494995,A
2025-02-10,SELL,97437.55469,0.7347719923613161,A
2025-02-13,BUY,96623.86719,1.0954086063528878,A
2025-02-14,SELL,97508.96875,-0.7363936531951887,A
2025-02-26,BUY,84347.02344,3.922246416007269,A
2025-03-02,SELL,94248.35156,-4.73768929494589,A
2025-03-03,BUY,86065.67188,3.8794124940923824,A
2025-03-05,SELL,90623.5625,0.4087273831298033,A
2025-03-06,BUY,89961.72656,1.8136592616618596,A
2025-03-14,SELL,83969.10156,-0.24805841167387932,A
2025-04-10,BUY,79626.14063,2.6443047974358036,A
2025-04-12,SELL,85287.10938,-1.4479791731784042,A
2025-04-13,BUY,83684.97656,1.139779452689238,A
2025-04-14,SELL,84542.39063,-1.7539301365665394,A
2025-05-23,BUY,107287.7969,3.343909083499219,A
2025-05-26,SELL,109440.3672,0.47463038110855393,A
2025-05-27,BUY,108994.6406,1.4280155463503919,A
2025-06-01,SELL,105652.1016,-0.3500575595661637,A
2025-06-03,BUY,105432.4688,1.3439892544011123,A
2025-06-04,SELL,104731.9844,0.5666950638418156,A
2025-06-05,BUY,101575.9531,3.490961399298609,A
2025-06-07,SELL,105615.625,0.3074871412905189,A
2025-06-10,BUY,110257.2344,1.0439745859429417,A
2025-06-11,SELL,108686.625,0.6057061262353614,A
2025-06-12,BUY,105929.0547,3.835471156810466,A
2025-06-19,SELL,104684.2891,0.9716706965916311,A
2025-06-20,BUY,103309.6016,2.885848099358035,A
2025-06-23,SELL,105577.7734,0.9081093206688706,A
2025-06-24,BUY,106045.6328,1.7220659635349689,A
2025-06-30,SELL,107135.3359,0.7573411638290173,A
2025-07-01,BUY,105698.2813,1.1043441718774583,A
2025-07-07,SELL,108299.8516,0.6387670013583202,A
2025-07-09,BUY,111326.5547,1.1025445615941987,A
2025-01-23,BUY,103960.1719,2.498644433933528,B
2025-01-24,SELL,104819.4844,0.9835009876602685,B
2025-02-04,BUY,97871.82031,2.918775609464852,B
2025-02-08,SELL,96482.45313,-1.38013763360475,B
2025-03-09,BUY,80601.03906,1.9802238016322082,B
2025-03-11,SELL,82862.21094,-2.0378170042241295,B
2025-03-13,BUY,81066.70313,1.531929089666506,B
2025-03-14,SELL,83969.10156,-3.6465491097740665,B
2025-07-14,BUY,119849.7031,5.151872121130219,B
2025-08-09,SELL,116500.3594,-0.03005451543840465,B
2025-08-11,BUY,118731.4453,2.7542470242872596,B
2025-09-12,SELL,116101.5781,-0.1369477797720231,B
2025-09-15,BUY,115444.875,1.8072435314312685,B
2025-09-16,SELL,116843.1875,0.8151522325685612,B
2025-09-18,BUY,117137.2031,1.2233141511162726,B
2025-09-20,SELL,115721.9609,-0.2055832956840864,B
2025-09-22,BUY,112748.5078,2.2076452861768736,B
2025-10-02,SELL,120681.2578,0.8262316150558391,B
2025-10-03,BUY,122266.5313,1.2964581002490094,B
